POS,Nombre,Team,POS,GP,ATT,YDS,LNG,BIG,TD,FUM,LST,FD
265,Reggie Bonnafon ,WSH,RB,1,3,8,5,0,0,0,0,0
265,Scotty Miller ,TB,WR,15,1,8,8,0,0,0,0,0
265,Alec Ingold ,MIA,FB,17,6,8,2,0,1,0,0,5
265,Cedrick Wilson Jr.,MIA,WR,15,1,8,8,0,0,0,0,0
265,Harrison Bryant ,CLE,TE,17,1,8,8,0,0,0,0,1
265,Ashton Dulin ,IND,WR,12,2,8,5,0,0,0,0,1
265,Zander Horvath ,LAC,FB,15,4,8,3,0,0,0,0,2
265,Ja'Marr Chase ,CIN,WR,12,5,8,6,0,0,0,0,0
278,Brandin Cooks ,HOU,WR,13,2,7,5,0,0,0,0,0
278,Michael Burton ,KC,FB,17,5,7,6,0,0,0,0,2
278,Nathan Peterman ,CHI,QB,3,2,7,6,0,0,0,0,0
278,Brett Rypien ,DEN,QB,4,6,7,6,0,0,3,0,2
278,Olamide Zaccheaus ,ATL,WR,17,2,7,13,0,0,0,0,1
278,C.J. Ham ,MIN,FB,17,4,7,3,0,2,0,0,3
278,Amari Rodgers ,HOU/GB,WR,16,2,7,4,0,0,0,0,0
278,Kylin Hill ,GB,RB,2,1,7,7,0,0,0,0,1
286,Joe Flacco ,NYJ,QB,5,3,6,7,0,0,0,0,1
286,Cooper Rush ,DAL,QB,9,9,6,6,0,0,0,0,1
286,Richie James ,NYG,WR,17,2,6,4,0,0,0,0,0
286,K.J. Osborn ,MIN,WR,17,3,6,5,0,0,0,0,2
290,Marquise Goodwin ,SEA,WR,13,2,5,7,0,0,0,0,0
290,Travis Kelce ,KC,TE,17,2,5,4,0,0,0,0,1
290,Jonnu Smith ,NE,TE,14,1,5,5,0,0,1,0,1
290,Chris Godwin ,TB,WR,15,3,5,2,0,0,0,0,0
290,David Blough ,ARI,QB,2,4,5,4,0,0,0,0,0
290,Courtland Sutton ,DEN,WR,15,1,5,5,0,0,0,0,0
290,Elijah Moore ,NYJ,WR,16,5,5,10,0,0,0,0,2
297,Chase Daniel ,LAC,QB,4,1,4,4,0,0,0,0,0
297,Adam Thielen ,MIN,WR,17,1,4,4,0,0,0,0,0
297,Duke Johnson ,BUF,RB,1,2,4,4,0,0,0,0,1
297,Godwin Igwebuike ,SEA,RB,5,3,4,4,0,0,0,0,0
297,Marcus Allen ,PIT,LB,15,1,4,4,0,0,0,0,1
297,Jason Cabinda ,DET,FB,8,1,4,4,0,0,0,0,1
297,Devine Ozigbo ,DEN,RB,4,3,4,4,0,0,0,0,0
297,Racey McMath ,TEN,WR,5,1,4,4,0,0,0,0,0
297,Joshua Palmer ,LAC,WR,16,1,4,4,0,0,0,0,1
297,Garrett Wilson ,NYJ,WR,17,4,4,7,0,0,1,0,0
307,Josh Johnson ,SF,QB,2,2,3,4,0,0,0,0,0
307,Nick Bellore ,SEA,LB,16,1,3,3,0,0,0,0,0
307,Chris Moore ,HOU,WR,16,3,3,3,0,0,0,0,0
307,M.J. Stewart ,HOU,S,17,1,3,3,0,0,0,0,1
307,Tyler Conklin ,NYJ,TE,17,2,3,2,0,0,0,0,2
307,Gardner Minshew ,PHI,QB,5,7,3,3,0,1,4,1,1
313,Keith Smith ,ATL,FB,17,1,2,2,0,0,0,0,1
313,Damien Williams ,ATL,RB,1,2,2,2,0,0,0,0,0
313,Sean Chandler ,CAR,S,17,1,2,2,0,0,0,0,1
313,Foster Moreau ,LV,TE,15,0,2,2,0,0,1,1,0
313,Ashtyn Davis ,NYJ,S,14,1,2,2,0,0,0,0,1
313,Darnell Mooney ,CHI,WR,12,1,2,2,0,0,0,0,0
313,Jaelon Darden ,TB/CLE,WR,14,1,2,2,0,0,0,0,0
313,Donovan Peoples-Jones ,CLE,WR,17,1,2,2,0,0,0,0,0
313,Peyton Hendershot ,DAL,TE,17,1,2,2,0,1,0,0,1
313,Chigoziem Okonkwo ,TEN,TE,17,3,2,6,0,0,0,0,0
313,Daniel Bellinger ,NYG,TE,12,1,2,2,0,1,0,0,1
324,Durham Smythe ,MIA,TE,16,2,1,1,0,1,0,0,1
324,Jordan Howard ,NO,RB,2,1,1,1,0,0,0,0,0
324,Andy Isabella ,ARI/BAL,WR,5,1,1,1,0,0,0,0,0
324,Quez Watkins ,PHI,WR,17,3,1,4,0,0,0,0,0
324,Noah Gray ,KC,TE,17,1,1,1,0,1,0,0,1
324,Marquise Brown ,ARI,WR,12,1,1,1,0,0,0,0,0
330,Bryan Anger ,DAL,P,17,1,0,0,0,0,1,0,0
330,Case Keenum ,BUF,QB,2,5,0,4,0,0,0,0,0
330,Zach Pascal ,PHI,WR,17,1,0,0,0,0,0,0,0
330,Clayton Fejedelem ,MIA,S,13,1,0,0,0,0,0,0,0
330,Dallin Leavitt ,GB,S,17,1,0,0,0,0,0,0,0
330,Andrew Beck ,DEN,FB,13,2,0,1,0,0,0,0,0
330,Allen Lazard ,GB,WR,15,2,0,1,0,0,0,0,0
330,Gerald Everett ,LAC,TE,16,1,0,0,0,0,0,0,0
330,Feleipe Franks ,ATL,TE,11,1,0,0,0,0,0,0,0
330,Kylen Granson ,IND,TE,13,1,0,0,0,0,0,0,0
330,Bailey Zappe ,NE,QB,4,10,0,5,0,0,2,1,0
330,Tyler Badie ,DEN,RB,1,1,0,0,0,0,0,0,0
342,Tom Brady ,TB,QB,17,29,-1,2,0,1,2,2,5
342,Davante Adams ,LV,WR,17,3,-1,4,0,0,0,0,0
342,Brandon Allen ,CIN,QB,1,3,-1,2,0,0,0,0,1
342,Jordan Love ,GB,QB,4,1,-1,-1,0,0,0,0,0
342,Ihmir Smith-Marsette ,KC/CHI,WR,8,1,-1,-1,0,0,0,0,0
342,Wan'Dale Robinson ,NYG,WR,6,2,-1,4,0,0,0,0,0
348,Ty Montgomery II,NE,WR,1,2,-2,0,0,0,0,0,0
348,Tim Boyle ,CHI,QB,1,2,-2,-1,0,0,0,0,0
350,Matthias Farley ,LV,S,17,1,-3,-3,0,0,0,0,0
350,Stefon Diggs ,BUF,WR,16,1,-3,-3,0,0,0,0,0
350,Marquez Valdes-Scantling ,KC,WR,17,1,-3,-3,0,0,0,0,0
350,Jamie Gillan ,NYG,P,17,2,-3,0,0,0,1,0,0
354,Nate Sudfeld ,DET,QB,2,5,-4,0,0,0,0,0,0
354,C.J. Beathard ,JAX,QB,4,4,-4,-1,0,0,0,0,0
354,Demetric Felton ,CLE,RB,8,1,-4,-4,0,0,0,0,0
357,Chad Henne ,KC,QB,3,5,-5,0,0,0,1,0,0
357,Anthony Brown Jr.,BAL,QB,2,3,-5,-1,0,0,0,0,0
357,Michael Woods II,CLE,WR,10,1,-5,-5,0,0,0,0,0
357,Rondale Moore ,ARI,WR,8,6,-5,9,0,0,0,0,1
361,Breshad Perriman ,TB,WR,11,2,-7,0,0,0,1,0,0
361,Jahan Dotson ,WSH,WR,12,2,-7,3,0,0,0,0,0
363,David Njoku ,CLE,TE,14,2,-8,-2,0,0,0,0,0
364,Jakobi Meyers ,NE,WR,14,2,-11,7,0,0,1,1,2
365,DeAndre Carter ,LAC,WR,17,2,-15,-5,0,0,0,0,0
366,Michael Dickson ,SEA,P,17,2,-18,-8,0,0,1,1,0
